Brand,Line,Recipie,Brand Name/Line /Recipe and Recipe,Life Stage,Store,Cost per cup,Cups Required 44lb less active,First Ingredients
,,,Nutrition First Lamb & Rice,,,,,"Lamb meal, brown rice, oatmeal, dehulled barley, lamb, brewers rice, chicken fat (preserved with mixed tocopherols– source of vitamin e), natural chicken flavour, tomatoes, potatoes, salmon oil (source of dha), whole dried egg, herring meal, flaxseed, whole sweet potatoes, whole carrots, whole blueberries, whole cranberries, whole apples, calcium carbonate, potassium chloride, dicalcium phosphate, sodium chloride, chicory root, choline chloride, vitamins & chelated minerals (vitamin a, vitamin d3, vitamin e, niacin, vitamin c, inositol, d-calcium pantothenate, thiamine mononitrate, Riboflavin, beta-carotene, pyridoxine hydrochloride, folic acid, vitamin k, biotin, vitamin b12, zinc proteinate, ferrous sulphate, iron proteinate, zinc oxide, copper proteinate, copper sulphate, manganese proteinate, manganous oxide, calcium iodate, sodium selenite), probiotics (lactobacillus acidophilus, lactobacillus casei, enterococcus faecium, bifidobacterium thermophilum), dl-methionine, yucca schidigera, dried rosemary."
,,,Nutrition First Salmon & Sweet Potato,,,,,
,,,Purina,,,,,
,,,Alpo,,,,,
,,,Alpo,,,,,"Ground yellow corn, corn germ meal, pork and bone meal, soybean meal, beef tallow preserved with mixed-tocopherols, poultry by-product meal (source of chicken flavour), corn gluten meal, poultry and pork digest, salt, calcium carbonate, dried peas, potassium chloride, choline "
,,,,,,,,
,,,Beneful,,,,,
,,,Beneful Originals Real Beef,,,$0.35,,"Beef, whole grain corn, barley, rice, whole grain wheat, chicken by-product meal, corn gluten meal, beef fat naturally preserved with mixed-tocopherols, soybean meal, oat meal, poultry by-product meal, glycerin, egg and chicken flavor, mono and dicalcium phosphate, calcium carbonate, salt, "
,,,Beneful Originals Real Chicken,,,$0.35,,"Chicken, whole grain corn, barley, rice, chicken by-product meal, whole grain wheat, corn gluten meal, beef fat naturally preserved with mixed-tocopherols, soybean meal, oat meal, poultry by-product meal, glycerin, egg and chicken flavor, calcium carbonate, salt,"
,,,Beyond,,,,,
,,,Grain  Free White Meat Chicken & Egg ,Adult  ,petsmart,$0.81,,
,,,Simply 9 White Meat Chicken and Whole Barley ,Adult  ,petsmart,$0.52,,
,,,"Small Dog White Meat Chicken, Barley & Egg",Adult SB,petsmart,$1.21,,
,,,"Superfood Blend Salmon, Egg, & Pumpkin",Adult  ,petsmart,$0.55,,
,,,Purina One,,,,,
,,,Purina ONE SmartBlend Chicken & Rice,Adult  ,,$0.30,2.5,"Chicken, rice flour, corn gluten meal, chicken by-product meal, whole grain corn, soybean meal, oat meal"
,,,Purina ONE SmartBlend Healthy Puppy,Puppy,,$0.31,,"Lamb, rice flour, whole grain corn, whole grain wheat, chicken by-product meal, corn gluten meal, soybean meal"
,,,Purina ONE SmartBlend Lamb & Rice,Adult  ,,$0.27,2.75,"Chicken, rice flour, chicken by-product meal, corn gluten meal, whole grain wheat, soybean meal, whole grain corn"
,,,Purina ONE SmartBlend Large Breed Adult,Adult LB,,$0.32,,"Chicken, rice flour, soybean meal, corn gluten meal, chicken by-product meal, whole grain wheat, whole grain corn"
,,,Purina ONE SmartBlend Large Breed Puppy,Puppy LB,,$0.25,,"Lamb, chicken meal, rice flour, corn gluten meal, whole grain corn, soybean meal, whole grain wheat"
,,,Purina ONE SmartBlend Small Breed Lamb & Rice,Adult SB,,$0.38,1,"Chicken, rice flour, corn gluten meal, chicken by-product meal, soybean meal, whole grain corn, corn germ meal, oat meal, vegetable oil, whole grain wheat"
,,,Purina ONE SmartBlend Vibrant Maturity 7+ Senior,Senior,,$0.25,,"Whole Grain Corn, Corn Gluten Meal, Chicken By-Product Meal, Beef Fat Naturally Preserved with Mixed-Tocopherols"
,,,https://www.purina.com/purina-one/dogs/dry-dog-food/true-instinct-real-salmon-tuna,Adult  ,,$0.33,,
,,,Chow,,,,,
,,, Dog Chow Complete Adult with Real Chicken,Adult  ,,$0.23,2.75,
,,,Purina Dog Chow Natural Dog Food,Adult  ,,$0.21,2.75,"Chicken, rice flour, corn gluten meal, whole grain corn, chicken by-product meal, whole grain wheat, soybean meal"
,,,Puppy Chow ,Puppy,Walmart,$0.21,2,
,,,Pro Plan - Focus,,,,,
,,,Sensitive Skin and Stomach Salmon and Rice,Adult  ,Petsmart,$0.62,,
,,,Sensitive Skin and Stomach Lamb & Oat Meal ,,,#DIV/0!,,
,,,Small Breed Sensitive Skin and Stomach Salmon & Rice,,,#DIV/0!,,
,,,Small Breed Puppy - chicken & Rice,Puppy SB,Petsmart,$0.94,,
,,,Adult Small Breed,,,#DIV/0!,,
,,,Large Breed Puppy - Chicken & Rice,Puppy LB,pet value,$0.71,,"Chicken, rice, corn gluten meal, whole grain corn, poultry by-product meal (source of glucosamine), whole grain wheat, beef fat preserved with mixed-tocopherols, pea fiber, dried egg product, fish meal (source of glucosamine), natural flavor"
,,,Adult Large Breed ,,,#DIV/0!,,
,,,Adult Weight Management Large Breed,,,#DIV/0!,,
,,,Adult Weight Management ,,,#DIV/0!,,
,,,Puppy Chicken & Rice,,,#DIV/0!,,
,,,,,,#DIV/0!,,
,,,Pro Plan - Savor,,,,,
,,,Puppy ,,,#DIV/0!,,
,,,Adult Chicken & Rice,,,#DIV/0!,,
,,,Adult Lamb & Rice,,,#DIV/0!,,
,,,Grain Free Adult Shredded Blend Turkey & Chicken ,,,#DIV/0!,,
,,,Shredded Blend Adult Chicken & Rice,,,#DIV/0!,,
,,,Shredded Blend Adult Salmon & Rice,,,#DIV/0!,,
,,,Shredded Blend Adult Small Breed Chicken & Rice,,,#DIV/0!,,
,,,Adult Beef & Rice,,,#DIV/0!,,
,,,Shredded Blend Adult Lamb & Rice ,,,#DIV/0!,,
,,,Shredded Blend Adult Large Breed ,,,#DIV/0!,,
,,,Pro Plan - Sport,,,#DIV/0!,,
,,,Active 27/17 Turkey & Barley ,,,#DIV/0!,,
,,,Performance 30/20 ,Adult  ,petsmart,$0.57,,"Chicken, Corn Gluten Meal, Rice, Beef Fat Preserved with Mixed-Tocopherols, Poultry By-Product Meal (Source of Glucosamine), Whole Grain Corn, Corn Germ Meal, Dried Egg Product, Fish Meal (Source of Glucosamine), Natural Flavor, Fish Oil, Mono and Dicalcium Phosphate, Calcium Carbonate, Potassium Chloride, Salt, Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Vitamin B-12 Supplement, Riboflavin Supplement (Vitamin B-2), Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Menadione Sodium Bisulfite Complex (Vitamin K), Vitamin D-3 Supplement, Biotin (Vitamin B-7)], Choline Chloride, L-Lysine Monohydrochloride, Magnesium Sulfate, Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], L-Ascorbyl-2-Polyphosphate (Vitamin C), Dried Bacillus Coagulans Fermentation Product, Garlic Oil.  Y446119"
,,,Purina SmartBlend ,,,,,
,,,Salmon & Tuna 27lb bag,Adult  ,petsmart,$0.32,,"Salmon (source of glucosamine), corn gluten meal, soy flour, rice flour, beef fat naturally preserved with mixed-tocopherols, whole grain wheat, chicken meal (source of glucosamine), soy flakes, whole grain corn, tuna, glycerin, corn germ meal, oat meal, liver flavour, calcium carbonate, soybean oil, mono and dicalcium phosphate, caramel colour, salt, fish oil, Vitamins [Vitamin E supplement, niacin (Vitamin B-3), Vitamin A supplement, calcium pantothenate (Vitamin B-5), thiamine mononitrate (Vitamin B-1), Vitamin B-12 supplement, riboflavin supplement (Vitamin B-2), pyridoxine hydrochloride (Vitamin B-6), folic acid (Vitamin B-9), menadione sodium bisulfite complex (Vitamin K), Vitamin D-3 supplement, biotin (Vitamin B-7)], potassium chloride, Minerals [zinc sulphate, ferrous sulphate, manganese sulphate, copper sulphate, calcium iodate, sodium selenite], sulphur, choline chloride.  B-4173-C"
,,,Presidents Choice,,,,,
,,,,,,,,
,,,,,,,,
,,,Natures Recipe ,,,,,
,,,"Chicken, Sweet Potato & Pumpkin GF",Adult  ,Superstore,$0.77,,"chicken, chicken meal, garbanzo beans, peas, pea starch"
,,,"Lamb, Sweet Potato & PumpkinGF",Adult  ,Superstore,$1.65,,
,,,Red Leaf,,,,,
,,,Cobb Chicken ,,,$0.35,,
,,,Angus Beef,,,$0.52,,
,,,Royal Canin,,,,2.5,
,,,Medium Adult,Adult  ,,$0.41,,"Brewers rice, chicken by-product meal, wheat, corn gluten meal, oat groats, chicken fat, natural flavors, dried beet pulp, fish oil, calcium carbonate, grain distillers dried yeast, vegetable oil, potassium chloride, monocalcium phosphate, salt, hydrolyzed yeast, L-lysine, choline chloride, vitamins [DL-alpha tocopherol (source of vitamin E), L-ascorbyl-2-polyphosphate (source of vitamin C), biotin, D-calcium pantothenate, vitamin A acetate, niacin, pyridoxine hydrochloride (vitamin B6), thiamine mononitrate (vitamin B1), vitamin B12 supplement, riboflavin (vitamin B2), folic acid, vitamin D3 supplement], trace minerals (zinc proteinate, zinc oxide, ferrous sulfate, manganese proteinate, manganous oxide, copper sulfate, calcium iodate, sodium selenite, copper proteinate), rosemary extract, preserved with natural mixed tocopherols and citric acid."
,,,Medium 7+ Adult ,Adult  ,,$0.54,,
,,,Medium Puppy ,Puppy,,$0.57,,
,,,Large Puppy ,Puppy LB,,$0.54,,
,,,Giant Puppy ,Adult LB,,$0.60,,
,,,Small Puppy ,Puppy SB,,$0.94,,
,,,Small Adult ,Adult SB,,$1.39,,
,,,Small 8+ Adult ,Adult SB,,$0.90,,
,,,Large Adult,Adult LB,,$0.59,,"Chicken by-product meal, brewers rice, wheat, brown rice, chicken fat, corn gluten meal, natural flavors, dried beet pulp, fish oil, grain distillers dried yeast, calcium carbonate, salt, potassium chloride, sodium silico aluminate, monocalcium phosphate, choline chloride, L-lysine, taurine, glucosamine hydrochloride, vitamins [DL-alpha tocopherol (source of vitamin E), L-ascorbyl-2-polyphosphate (source of vitamin C), biotin, D-calcium pantothenate, vitamin Aacetate, niacin, pyridoxine hydrochloride (vitamin B6), thiamine mononitrate (vitamin B1), vitamin B12 supplement, riboflavin (vitamin B2), folic acid, vitamin D3 supplement], trace minerals (zinc proteinate, zinc oxide, ferrous sulfate, manganese proteinate, manganous oxide, copper sulfate, calcium iodate, sodium selenite, copper proteinate), chondroitin sulfate, rosemary extract, preserved with natural mixed tocopherols and citric acid."
,,,Labrador Retriever Adult ,Adult  ,,$0.52,,
,,,Golden Retriever  Adult ,Adult  ,,$0.52,,
,,,Poodle Adult,Adult  ,,$1.16,,
,,,Pug Adult ,Adult  ,,$1.11,,
,,,Shih Tzu Adult ,Adult  ,,$1.21,,
,,,West Highland White Terrier Adult ,Adult  ,,,,
,,,Yorkshire Adult ,Adult  ,,,,
,,,Boxer Adult Dog Food,Adult  ,,$0.54,,
,,,BullDog Adult,Adult  ,,$0.48,,
,,,Beagle Adult ,Adult  ,,,,
,,,Chihuahua Adult,Adult SB,,$1.05,,
,,,Cocker Spanial Adult ,Adult  ,,,,
,,,Dachshund Adult,Adult SB,,$1.00,,
,,,French Pulldog Adult,Adult  ,,,,
,,,German Shephard Adult ,Adult  ,Homesalive,,,
,,,Jack Russell Terrier Adult ,Adult  ,,,,
,,,Rottweiler Adult ,Adult  ,,,,
,,,Small Dog Dental Care ,Adult SB,,,,
,,,Medium Dog Dental Care,Adult  ,,$0.50,2.75,
,,,Large Dental Care ,Adult LB,,,,
,,,Small Digestive Care ,Puppy SB,,,,
,,,Small Fussy Appetite Adult ,Adult SB,,,,
,,,Small Coat Care Adult ,Adult SB,,,,
,,,Veterinary Diet,,,,,
,,,Gastro low fat,Adult  ,,$0.64,,"Brewers rice, chicken by-product meal, wheat, barley, natural flavors, dried plain beet pulp, grain distillers dried yeast, chicken fat, salt, calcium carbonate, fish oil, sodium silico aluminate, psyllium seed husk, potassium chloride, monocalcium phosphate, fructooligosaccharides, hydrolyzed yeast, choline chloride, taurine, DL-methionine, marigold extract (Tagetes erecta L.), vitamins [DL-alpha tocopherol acetate (source of vitamin E), L-ascorbyl-2-polyphosphate (source of vitamin C), biotin, D-calcium pantothenate, pyridoxine hydrochloride (vitamin B6), vitamin A acetate, niacin supplement, thiamine mononitrate (vitamin B1), vitamin B12 supplement, riboflavin supplement, folic acid, vitamin D3 supplement], trace minerals [zinc proteinate, zinc oxide, ferrous sulfate, manganese proteinate, manganous oxide, copper sulfate, calcium iodate, sodium selenite, copper p"
,,,Canine Weight Control Large Dog ,Adult LB,,$0.71,,
,,,Veterinary Mature Consult Large Breed,Adult LB,stonewall vet,$0.74,,
,,,Veterinary Mature Consult Regular,Adult  ,stonewall vet,$0.65,,
,,,Canine Selected Protein Adult Ko Dry,Adult  ,,$1.03,,
,,,Canine Skin Support ,Adult  ,,$1.02,,
,,,Canine Urinary SO Moderate Calorie Dry ,Adult  ,,$0.83,,
,,,Canine Urinary SO Small Dog Calorie Dry ,Adult SB,,$1.26,,
,,,Canine Urinary SO + Satiety  Adult ,Adult  ,,$0.87,,
,,,Canine Urinary Uc. Low Purine ,Adult  ,,$0.90,,
,,,Canine Satiety Support Weight Management ,Adult  ,,$0.76,,
,,,Canine Satiety Support Weight Management Small Breed,Adult SB,,$0.97,,
,,,Canine Gastrointestinal Moderate Calorie,Adult  ,,$1.06,,
,,,Canine Gastrointestinal Low Fat,Adult  ,,$0.64,,
,,,Canine Gastrointestinal Fiber Response ,Adult  ,,$0.92,,
,,,Canine Renal Support A,Adult  ,,$0.95,,
,,,Canine Renal Support S,Adult  ,,$0.98,,
,,,Canin Dental Care,Adult  ,,$0.86,,
,,,Hydrolyzed Protien Adult HP ,Adult  ,,$0.96,,
,,,Satori,,,,,
,,,Satori Duck Recipe,,,$0.76,1.66,
,,,Satori Chicken Recipe,,,$0.77,1.85,
,,,Satori Lamb Recipe,,,$0.82,1.85,
,,,Satori Oven Made Chicken and Lentil Recipe Dog Food,,,$0.99,2.13,
,,,Satori Salmon Dog Food,,,$0.90,1.4,
,,,Simply Nourish,,,,,
,,,Simply Nourish Small Breed Adult natural Chicken & Brown Rice,Adult SB,Petsmart,$0.62,,"Deboned Chicken, Chicken Meal (Source of Glucosamine and Chondroitin Sulfate), Brown Rice, Oatmeal, Chicken Fat (Preserved with Mixed Tocopherols), Natural Flavor, Pea Fiber, Whole Flaxseed, Sunflower Oil (Preserved with Mixed Tocopherols), PotassiumChloride, Dried Chicory Root, Dried Carrots, Dried Kale, Dried Pumpkin"
,,,Simply Nourish Healthy Weight Tukey & Brown Rice,Adult  ,Petsmart,$0.48,,"Deboned Turkey, Turkey Meal, Brown Rice, Oatmeal, Rye Flour, Dried Peas, Natural Flavor, Chicken Fat (Preserved with Mixed Tocopherols), Whole Flaxseed, Pea Fiber, Oat Fiber, Calcium Carbonate, Dicalcium Phosphate, Potassium Chloride, Dried Chicory Root, Dried Carrots, Dried Kale, Dried Pumpkin, Dried Blueberries, "
,,,Simply Nourish Adult Lamb & Oatmeal,Adult  ,Petsmart,$0.48,,"Deboned Lamb, Oatmeal, Brown Rice, Turkey Meal, Lamb Meal, Barley, Canola Oil (Preserved with Mixed Tocopherols), Natural Flavor, Pea Fiber, Whole Flaxseed, Sunflower Oil (Preserved with Mixed Tocopherols), Potassium Chloride, Dried Chicory Root, Dried Carrots, Dried Kale, Dried Pumpkin, Dried Blueberries, C"
,,,Simply Nourish Senior Dog Food Chicken & Brown Rice,Senior,Petsmart,$0.49,,"Deboned Chicken, Brown Rice, Oatmeal, Chicken Meal (Source of Glucosamine and Chondroitin Sulfate), Barley, Natural Flavor, Chicken Fat (Preserved with Mixed Tocopherols), Pea Fiber, Whole Flaxseed,Rice Bran, Rye Flour, Sunflower Oil (Preserved with Mixed Tocopherols), Potassium Chloride, Dried Chicory Root, Dried Carrots, Dried"
,,,Grain Free,,,,,
,,,Simply Nourish Puppy Food GF Chicken Peas & Pototoes,Puppy,Petsmart,$2.37,,"Deboned Chicken, Chicken Meal, Dried Peas, Potatoes, Chicken Fat (Preserved with Mixed Tocopherols), Ground Flaxseed, Pea Fiber, Natural Flavor, Fish Oil (Preserved with Mixed Tocopherols) (Source of DHA), Potassium Chloride, Sodium Tripolyphosphate, Dried Chicory Root, Dried Carrots, Dried Kale, Dried"
,,,Simply Nourish Small Breed GF Chicken Peas & Potatoes,Adult SB,Petsmart,$0.86,,"Deboned Chicken, Chicken Meal (Source of Glucosamine and Chondroitin Sulfate), Dried Peas, Dried Potatoes, Ground Flaxseed, Chicken Fat (Preserved with Mixed Tocopherols), Pea Fiber, Natural Flavor, Dicalcium Phosphate, Dried Chicory Root, D"
,,,"Simply Nourish LB GF Chicken, Peas & Potatoes",Adult LB,Petsmart,$0.58,,"Deboned Chicken, Chicken Meal, Dried Peas, Dried Potatoes, Ground Flaxseed, Pea Fiber, Chicken Fat (Preserved with Mixed Tocopherols), Natural Flavor, Dicalcium Phosphate, Dried Chicory Root, Dried Carrots, Dried Kale, Dried Pumpkin, Dried Blueberries, Dried Chicken Cartilage (Source of Glucosamine & Chondroitin Sulfat"
,,,"Simply Nourish Adult GF Chicken, Peas & Potatoes",Adult  ,Petsmart,$0.60,,"Deboned Chicken, Chicken Meal, Dried Peas, Dried Potatoes, Chicken Fat (Preserved with Mixed Tocopherols), Ground Flaxseed, Natural Flavor, Pea Fiber, Dicalcium Phosphate, Dried Chicory Root, Dried Carrots, Dried Kale, Dried Pumpkin, Dried Blueberries, Calcium Carbonate, Vitamins (Vitamin E Supplement, Vi"
,,,Limited Ingredient,,,,,
,,,Simply Nourish Limited Ingredient Diet LB Salmon & Sweet Potato,Adult LB,Petsmart,$0.59,,"Deboned Salmon, Dried Sweet Potatoes, Salmon Meal, Dried Peas, Dried Lentils, Ground Flaxseed, Pea Fiber, Canola Oil (Preserved with Mixed Tocopherols), Natural Flavor, Dicalcium Phosphate, DL-Methionine, Dried Carrots, Minerals (Potassium Chloride, Calcium Carbonate, Zinc Sulfate, Ferrous"
,,,Simply Nourish Limited Ingredient Diet Puppy Food Salmon & Sweet Potato,Puppy,Petsmart,$0.90,,"Deboned Salmon (Source of DHA), Salmon Meal, Dried Sweet Potatoes, Dried Peas, Dried Lentils, Pea Starch, Ground Flaxseed, Canola Oil (Preserved with Mixed Tocopherols), Pea Fiber, Natural Flavor, Dicalcium Phosphate,"
,,,Simply Nourish Limited Ingredient Diet Small breed Salmon & Sweet Potato,Adult SB,Petsmart,$0.95,,"Deboned Salmon, Salmon Meal, Dried Peas, Dried Sweet Potatoes, Dried Lentils, Ground Flaxseed, Pea Fiber, Canola Oil (Preserved with Mixed Tocopherols), Natural Flavor,"
,,,Simply Nourish Limited Ingredient Diet Adult Salmon & Sweet Potato,Adult  ,Petsmart,$0.65,,"Deboned Salmon, Salmon Meal, Dried Sweet Potatoes, Dried Peas, Dried Lentils, Pea Starch, Ground Flaxseed, Canola Oil (Preserved With Mixed Tocopherols), Pea Fiber, Natural Flavor, Dicalcium Phosphate, Dl-Methionine, Dried Carrots, Minerals (Potassium Chloride, Calcium Carbonate, Zinc Sulfate, Ferrous Sulfate, Zinc Proteinate, Iron Proteinate, Manganese Sulfate, Copper Sulfate, Copper Proteinate, Manganese Proteinate, Calcium Iodate, Sodium Selenite),"
,,,Simply Nourish Limited Ingredient Diet Senior Salmon & Sweet Potato,Senior,Petsmart,$0.88,,"Deboned Salmon, Salmon Meal, Dried Sweet Potatoes, Dried Peas, Dried Lentils, Pea Starch, Ground Flaxseed, Canola Oil (Preserved With Mixed Tocopherols), Pea Fiber, Natural Flavor, Dicalcium Phosphate, Dl-Methionine, Dried Carrots, Minerals (Potassium Chloride, Calcium Carbonate, Zinc Sulfate, Ferrous Sulfate, Zinc Proteinate, Iron Proteinate, Manganese Sulfate, Copper Sulfate, Copper Proteinate, Manganese Proteinate, Calcium Iodate, Sodium Selenite),"
,,,Simply Nourish Limited Ingredient Diet Adult Natural Duck & Green Pea,Adult  ,Petsmart,$0.63,,"Deboned Duck, Duck Meal, Dried Green Peas, Dried Lentils, Dried Yellow Peas, Pea Starch, Canola Oil (Preserved with Mixed Tocopherols), Ground Flaxseed, Pea Fiber, Natural Flavor, Dicalcium Phosphate, Potassium Chloride, Dried Carrots, D"
,,,Simply Nourish Limited Ingredient Diet Adult Natural Turkey & Pea,Adult  ,Petsmart,$0.63,,"Deboned Turkey, Turkey Meal, Dried Peas, Dried Lentils, Pea Starch, Ground Flaxseed, Canola Oil (Preserved with Mixed Tocopherols), Pea Fiber, Natural Flavor, Dicalcium Phosphate, DL-Methionine, Dried Cranberries, Minerals (Calcium Carbonate, Zinc Sulfate, Ferrous Sulfate, Zinc Proteinate, Iron Proteinate, Manganese Sulfate"
,,,Simply Nourish Limited Ingredient Diet Adult Natural Lamb & Green Pea,Adult  ,Petsmart,$0.60,,"Deboned Lamb, Lamb Meal, Dried Peas, Dried Lentils, Pea Starch, Ground Flaxseed, Canola Oil (Preserved with Mixed Tocopherols), Pea Fiber, Natural Flavor, DL-Methionine, Dried Carrots, Minerals (Calcium Carbonate, "
,,,Source,,,,,
,,,Simply Nourish Source Adult Natural high Protein GF Salmon,Adult  ,Petsmart,$0.61,,"Deboned Salmon, Salmon Meal, Chicken Meal, Dried Peas, Dried Potatoes, Pea Starch, Ground Flaxseed, Natural Flavor, Canola Oil (Preserved with Mixed Tocopherols), Pea Fiber, Dried Chicory Root, Dried Carrots, Dried Kale, Dried Pumpkin, "
,,,Simply Nourish Source Puppy Food  Natural high Protein GF Chicken,Puppy,Petsmart,$0.62,,"Deboned Chicken, Chicken Meal, Dried Potatoes, Dried Peas, Potato Protein, Turkey Meal, Ground Flaxseed, Dried Egg Product, Natural Flavor, Chicken Fat (Preserved with Mixed Tocopherols), Pea Fiber, Fish Oil (Preserved with Mixed "
,,,Simply Nourish Source Adult LB  Natural high Protein GF Chicken,Adult LB,Petsmart,$0.59,,"Deboned Chicken, Chicken Meal, Turkey Meal (Source of Glucosamine and Chondroitin Sulfate), Dried Potatoes, Dried Peas, Ground Flaxseed, Natural Flavor, Chicken Fat (Preserved with Mixed Tocopherols), Pea Fiber, Dried Chicory Root, Dried Carrots, Dried Kale, Dried Pumpkin, Dried Blueberries, DL-Methionine,Choline Chloride, Vitamins (Vitamin E Su"
,,,Simply Nourish Source Adult  Natural high Protein GF Chicken,Adult  ,Petsmart,$0.62,,"Deboned Chicken, Chicken Meal, Turkey Meal, Dried Potatoes, Dried Peas, Ground Flaxseed, Chicken Fat (Preserved with Mixed Tocopherols), Pea Fiber, Dried Egg Product, Natural Flavor, Choline Chloride, Dried Chicory Root, Dried Carrots, Dried Kale, Dried Pumpkin, Dried Blueberries, Minerals (Potassium Chloride, Calcium Carbonat"
,,,Simply Nourish Source Adult SB  Natural high Protein GF Chicken,Adult SB,Petsmart,$0.94,,"Deboned Chicken, Chicken Meal, Turkey Meal (Source of Glucosamine and Chondroitin Sulfate), Dried Potatoes, Dried Peas, Ground Flaxseed, Chicken Fat (Preserved with Mixed Tocopherols), Dried Egg Product, Natural Flavor, Pea Fiber, Dried Chicory Root, Dried Carrots, Dried Kale, Dried Pumpkin, Dried Blueberries, Choline Chloride, DL-Methionine, Minerals (Potassium Chloride, Calcium Carbonate, Zinc Sulfate, "
,,,Simply Nourish Source Adult Natural High protein Gf Chicken & Turkey,Adult  ,Petsmart,$0.61,,"Deboned Chicken, Chicken Meal, Turkey Meal, Dried Potatoes, Dried Peas, Ground Flaxseed, Dried Egg Product, Deboned Turkey, Chicken Fat (Preserved with Mixed Tocopherols), Natural Flavor, Pea Fiber, Dried Chicory Root, Dried Carrots, Dried Kale, Dried Pumpkin, Dried Blueberries, Salt, Choline Chloride, DL-Methionine, Vitam"
,,,"Simply Nourish Source Adult Natural, High Protein GF Duck",Adult  ,Petsmart,$0.62,,"Deboned Duck, Chicken Meal, Turkey Meal, Dried Potatoes, Dried Peas, Dried Egg Product, Pea Starch, Ground Flaxseed, Natural Flavor, Pea Fiber, Chicken Fat (Preserved with Mixed Tocopherols), Salt, Dried Chicory Root, Dried Carrots, Dried Kale, DriedPumpkin, Dried Blueberries, Choline Chloride, DL-Methionine, "
,,,Simply Nourish Source Senior  Natural high Protein GF Chicken,Senior,Petsmart,$0.60,,"Deboned Chicken, Chicken Meal (Source of Glucosamine & Chondroitin Sulfate), Turkey Meal, Dried Potatoes, Dried Peas, Pea Fiber, Natural Flavor, Ground Flaxseed, Dried Egg Product, Chicken Fat (Preserved with Mixed Tocopherols), Dried Chicory Root, Dried Carrots, Dried Kale, Dried Pumpkin, Dried Blueberries, Vitamins (Vitamin E Supplement, Vitamin A Supplement, Niacin Supplement, d-Calcium Pantothenate, Thiamine Mononitrate, Riboflavin Supplement, Pyridoxine Hydrochloride, Vitamin D3 Supplement, Folic Acid, Biotin, Vitamin B12 Suppl"
,,,"Simply Nourish Source Natural, High protein GF Kibble + Salmon",Adult  ,Petsmart,$0.84,,"Deboned Whitefish, Whitefish Meal, Menhaden Fish Meal, Yellow Peas, Chickpeas, Deboned Salmon, Sunflower Oil (Preserved with Mixed Tocopherols), Green Lentils, Natural Flavor, Alfalfa, Flaxseed Meal, Dried Chicory Root"
,,,"Simply Nourish Source Natural, High protein GF Kibble + Turkey",Adult  ,Petsmart,$0.77,,"Deboned Turkey, Turkey Meal, Chicken Meal, Yellow Peas, Chickpeas, Chicken Fat (Preserved with Mixed Tocopherols), Green Lentils, Deboned Duck, Deboned Quail, Natural Flavor, Alfalfa, Flaxseed Meal, Dried Chicory Root, Dried Kelp, Dried Apples, Dried Cranberries, Dried Carrots, Vegetable Glycerin, Vitamins (Vitamin E Supplement, Vitamin A Supplement, Niacin Supplement, d-Calcium Pantothenate, Riboflavin Supplement, Thiamine Mononitrate, Biotin, Vitamin B12 Sup"
,,,"Simply Nourish Source Natural, High protein GF Kibble + Pork",Adult  ,Petsmart,$0.84,,"Deboned Lamb, Lamb Meal, Pork Meal, Deboned Pork, Pea Protein, Chickpeas, Yellow Peas, Green Lentils, Sunflower Oil (Preserved with Mixed Tocopherols), Natural Flavor, Deboned Boar, Alfalfa, Flaxseed Meal, Dried Chicory Root, Potassium Chloride, Dried Kelp, Dried Apples, Dried Cranberries, Dried Carrots, Vegetable Glycerin, V"
,,,"Simply Nourish Source Small Breed Adult Natural, Grain Free, Chicken",Adult SB,Petsmart,$0.96,,"Deboned Chicken, Chicken Meal, Turkey Meal, Dried Potatoes, Dried Peas, Flaxseed, Tomato Pomace, Canola Oil (Preserved With Mixed Tocopherols), Dried Egg Product, Natural Flavor,"
,,,"Simply Nourish Source Adult Natural, GF Chicken",Adult  ,Petsmart,$0.63,,"Deboned Chicken, Chicken Meal, Turkey Meal, Dried Potatoes, Dried Peas, Flaxseed, Tomato Pomace, Canola Oil (Preserved With Mixed Tocopherols), Natural Flavor, Dried Egg Product, Salt, Dried Chicory Root, Dried Carrots, Dried Spinach, Dried Sweet Potatoes, Dried Pumpkin, Dried Blueberries, Vitamins (Vitamin E Supplement, "
,,,Simply Nourish Soure Dual Protein Dog Food Natural GF Chicken & Turkey,Adult  ,Petsmart,$0.63,,"Deboned Chicken, Chicken Meal, Turkey Meal, Dried Potatoes, Dried Peas, Flaxseed Meal, Deboned Turkey, Tomato Pomace, Canola Oil (Preserved with Mixed Tocopherols),"
,,,,Puppy,Petsmart,$0.96,,"Deboned Chicken, Chicken Meal, Dried Potatoes, Dried Peas, Potato Protein, Turkey Meal, Flaxseed, Tomato Pomace, Natural Flavor, "
,,,"Simply Nourish Source Adult Natural, Grain Free Duck Recipe",Adult  ,Petsmart,$0.90,,"Deboned Duck, Chicken Meal, Turkey Meal, Dried Potatoes, Dried"
,,,Stella & Chewy (Anipet),,,,,
